Year,Month,DO,Temp,pH,Turbidity,Conductivity,CHLA,SST,Capture
2013,1,7.591415123926329,16.677300387645598,7.123362535772802,9.41565762839289,401.9616618864344,5.223079742625275,21.068948880009735,112.86125175963517
2013,2,7.18063634707522,17.04485843555641,7.492288858448441,9.877233990183868,426.17591129923727,6.475319769764067,21.04046525120544,107.25275052099653
2013,3,7.710398516636674,18.483984753039227,6.978590863591303,9.664466296217809,463.1890981805098,5.1757307044889975,19.88219665887342,129.20018422630127
2013,4,7.76006415175947,17.22083673411362,7.021054596208835,10.557756603152306,465.72563528438315,5.707092884803481,20.41707925974494,124.75666412034113
2013,5,6.885215759193322,17.79025849859219,7.328665358937809,13.279826051249472,458.2882253798566,5.111637858238887,18.24048347999168,145.51023335315654
2013,6,7.072504042678147,19.509754613575538,7.121078975428082,5.287735749716352,407.617023483229,5.040118734625269,19.285448187577206,126.30714914514411
2013,7,7.494141594634396,17.896367607885942,7.198975626655986,10.031562628875369,380.6968969010207,4.473149182221949,20.017608442825665,126.40334720209384
2013,8,7.353548274928504,19.032252410572347,7.167311420295098,10.94249852695542,451.6306075617115,5.725038201062817,19.437030424963776,121.27808911996698
2013,9,7.436012284327661,17.40322442525328,7.267514909759787,11.265672189900515,435.8467189908499,4.48530491607739,20.908359291367685,131.53617972463948
2013,10,7.177771032254242,18.173509810553423,7.481496372262743,10.014065574199526,463.7815731514984,6.044532604734482,21.976784593019445,130.04032569669207
2013,11,7.690135181932533,17.47103057666837,7.21811698138035,7.328661698200729,471.0586087866381,6.506339636024856,19.479760856035508,136.72777640144142
2013,12,7.652284949049737,18.12412481883628,7.328787758655372,11.582306756901902,454.14724296176047,5.829689301974072,19.793187171468688,119.41834976099558
2014,1,7.431388156636785,19.345571295352133,6.789965579793796,14.465226744117842,472.8039925612756,5.219014424339044,20.693621852542684,120.69855684950775
2014,2,7.742382888406199,16.820047997860282,7.190256319613977,8.027014032272987,456.8763412234521,6.001334000361328,21.836261339852328,120.68265250140651
2014,3,7.537094907938771,19.023897327756384,7.031353945941426,12.906603395817429,465.901941168044,5.280800628664114,19.6115742341786,133.80275405389514
2014,4,7.131685945345555,18.8693145497007,6.956237387915275,10.606107448491056,428.8598021139035,6.56712607283357,20.830807845213975,141.29953387665154
2014,5,7.492730498382644,18.079534254829518,7.02436952661425,11.224719729394938,444.61165758505626,3.8422781263111925,22.1307232911768,122.14843717377015
2014,6,7.0870720618565635,17.269731619295758,7.133175311859838,9.325781925960523,455.9032828997087,5.380182105565565,19.394382155140796,122.9101574589112
2014,7,7.630903511444814,18.830024244555975,7.383180508471203,10.846877128972457,474.6158542625226,3.767082741718107,19.73303937136544,130.71971960711906
2014,8,7.345022226704124,18.270507290936198,6.934721456452087,14.200089189397916,438.18776483326286,4.304939169772795,20.46111471483133,125.54238499987099
2014,9,7.29717286988379,19.074781474512598,7.206126298518884,12.849521010291204,465.6350176719634,7.205967492971804,20.425634532873566,137.94158916297786
2014,10,7.140984294573554,18.906062671839234,7.103166113333285,15.233044263451468,442.02483624253864,6.779395508287475,21.534291556518706,106.32433235696743
2014,11,7.704657138444314,20.5280946807946,7.134465381127608,14.207455356902756,446.4737349801561,5.206835556188894,21.119643565330353,120.9961074255679
2014,12,7.284167471168833,18.729065425158556,7.400551565060921,12.815015463122311,474.8855712607222,4.465917596590682,19.548451404917877,121.86004718670132
2015,1,7.19465954808791,17.98702882316761,7.307623087400786,15.508921683914531,390.2081888683753,3.045997477947822,21.42285463811012,106.90170303403329
2015,2,7.210149408537742,19.231907213903686,7.467479621488549,12.983249475371334,411.10583015775717,5.5091360710147335,20.59060046906285,120.88993134578563
2015,3,7.468113808297584,19.314733526077028,7.16909886415002,13.845450037804644,405.5344380767154,8.515151854352666,22.114294615658252,121.79580726259337
2015,4,7.4106858508881714,20.496029680503593,7.06081147766586,11.6805423034569,379.99151640455085,6.571726376726805,20.63477207611362,129.3573745074433
2015,5,7.417503994005112,20.01405861433563,7.1552282366239,12.490986368560515,429.6520667953447,5.619375082371564,20.669655141939263,142.91913260081316
2015,6,7.415562090376048,19.577923690728454,7.248499358254245,11.047257616557342,472.4830169918322,6.686132841079254,21.65395792022257,129.75991980388247
2015,7,7.92144164868219,20.726460785956405,7.235314671690743,14.50548365866339,441.4534780085228,4.7021995417424,21.873499080606393,122.32344174465688
2015,8,7.149654442453036,18.116500103571884,6.983122385553327,10.253919069559743,455.93370245825554,6.007939795197102,21.663742649043698,132.4830861668121
2015,9,7.110537707594328,18.707616888302883,7.218097956325575,14.259437526940586,482.6765249013238,6.44684589406837,19.998890567144784,143.9654204249398
2015,10,7.012710286788795,18.462897742805,7.245645666027781,12.397645253410733,489.83058396803074,6.303373032389477,21.819901236153125,124.1351486809562
2015,11,7.434267510983175,19.041769144212655,7.703494807506784,15.20565208167148,447.9258619582158,7.222385069058502,20.604132506028904,125.21004063446973
2015,12,7.580796950974163,18.096998062970005,7.5753689222563345,14.449106398515152,490.6075766870819,6.818329436762368,21.661905099796925,140.32233169800537
2016,1,7.2005526048088,20.150940420498618,7.029351329888236,16.672871262662024,452.76379975302325,7.184115491792208,20.376801925364962,132.9425335795341
2016,2,6.975321477963873,19.335672039743333,7.142523327690165,14.5773388559615,424.8780532851761,5.869522454611346,21.914952454876556,142.05379427551577
2016,3,6.972655635292628,18.129193705497343,6.9073115996325996,10.055919488693519,432.16798943403796,7.497815408410547,20.954720876554102,135.86353208204704
2016,4,7.407809415294778,18.626526181950354,7.081858597207303,13.150304180519388,405.58390462304953,8.271042210781886,20.615997542949476,143.43768911247463
2016,5,7.428239409255769,19.997724373765983,7.263121000718068,11.024406667441948,423.3559843879904,5.714061006664377,22.25526663550171,126.49132412275148
2016,6,7.360841017333664,20.564442357368065,7.441170724177647,12.41607189421482,439.25949935776714,5.838620133759124,21.919631406815085,137.14231138685417
2016,7,6.9908734036028655,21.765151944323364,7.054183232451279,16.559298971816602,474.10755058135805,8.104205388951812,21.27723961151726,135.5773103826842
2016,8,7.252806291656858,22.724388781796804,7.069170711986441,14.89612025337434,501.6230949349795,6.619182329094413,22.971469395006324,125.94635391685344
2016,9,7.210795216426429,20.267041012223363,6.770542194052269,12.307402300737245,408.5345545386888,8.256452971013927,21.500109641691573,122.89153631078682
2016,10,7.2340276316502825,18.9051987220734,7.167466815891019,11.762038951329728,461.78482404779754,6.452201130213079,21.920422981282012,145.80485877379925
2016,11,7.422481264963404,17.804795824531848,6.987517117628087,13.939248396278836,418.78368182527396,8.39188768153387,22.151972863406037,135.85889723045182
2016,12,7.22076287515872,20.24665883076489,7.094112114526785,11.524774438079849,464.24091265389603,7.110433185226505,21.48321462111816,129.56667086773723
2017,1,7.3499898583952525,19.20811153626862,7.024627844366482,12.699824708364734,446.0674004793682,7.279281454901643,22.39796166629889,139.24873694655616
2017,2,7.15922108926772,19.647800634557157,7.181147489149489,14.750334732576171,395.0728252245741,8.627875916406746,21.636396017005065,151.91176752086145
2017,3,7.218314766975417,19.493166358834927,6.848454321728674,16.521150388002866,477.8489097470545,6.743492680450565,21.775952500121768,118.24525312522815
2017,4,7.3135969940673515,20.006577534636246,6.906590950921802,15.512259786554141,431.84997861573805,6.2062463251276725,23.237482532895307,126.50729731149303
2017,5,6.679695359306457,21.25545391499817,7.625849422405659,9.796368351224853,433.98299284879334,6.740909476182171,21.35700484220058,132.6658724231526
2017,6,7.013572319303336,20.388627514813763,6.942515483745194,15.071891352797362,417.9074276613093,7.68391289801156,20.301354682624826,156.9275781408875
2017,7,6.960993466870056,20.11504937348763,6.980642884309073,14.691435567517788,430.3715016993733,5.707925138345802,23.562433806535832,145.5627119344561
2017,8,6.903073487632261,19.2801357208584,7.567382705664263,15.459359518113807,462.8367132208475,7.953260376335332,24.355251835769813,150.83106714145438
2017,9,7.004825745684626,18.683211792137747,7.781013433848082,17.948208836986627,444.32266977190784,6.819123419224362,22.03367932448264,132.17733817715873
2017,10,7.528482393370319,19.913692090926666,6.965686674234932,10.673523446390515,459.8598600684744,8.547812660733564,20.850529567503852,132.80464124729474
2017,11,6.812882244239396,20.388322712339576,7.126350208642394,13.702003675933579,460.8576556178653,5.047844958257423,22.19371808220114,148.89918979880608
2017,12,7.355746664272181,22.252140439895673,7.268311110188102,16.150233698218287,489.619849665845,6.69764475121162,22.255232166443253,145.42484857251236
2018,1,6.553033805357363,20.65659031094657,7.545739528881119,11.889442780039484,439.71641547406864,5.839847638239582,22.374376716655878,150.7505460833781
