Year,Month,Average of Wildlife Population Index,Average of Vegetation Index,Average of Soil Moisture,Average Temperature,Average of CO2 Level,Count of Extreme Weather Event,Sum of Economic Impact,Sum of Population Affected,Average of Habitat Fragmentation Score,Average of Deforestation Pressure Index
2013,1,61.160477127079936,0.5291948150628316,38.23374879699722,22.14984241398728,395.5452905268643,1.0,1077153.325976192,4807.185009238419,0.32678567448968865,0.15924542984530565
2013,2,69.94018670000773,0.5738783241510919,35.20942265343947,22.442750865384383,394.0875602622237,2.0,1101964.7626779717,4955.461000544059,0.27886996131249286,0.20275916766296018
2013,3,69.97645970686763,0.5076294818509781,32.890048880723654,22.18150580812505,396.816686309579,2.0,1027524.2173490131,4363.7798757599085,0.2856421297380486,0.1818444099716586
2013,4,68.76187232720262,0.5346337927999811,34.62265035976932,22.539463660300495,395.8528051925258,1.0,1023953.9151497688,5415.289732004718,0.28662466266724096,0.1986247872733259
2013,5,65.34458761898868,0.5282432496362206,34.71825221183035,21.972630685111664,395.8447849566669,0.0,1098202.9575197008,4414.82898825753,0.29145189018092776,0.2216486164294131
2013,6,68.52555957338429,0.543339223995083,32.007358800860025,23.611944918299564,398.9985387233265,1.0,1023605.6471491794,5744.319285549307,0.34350206245590803,0.19769546137381677
2013,7,64.40458059443705,0.5520501390657331,34.17254638363414,21.733002539985804,391.36141363765665,1.0,1011632.5812569401,5506.416059403528,0.3314954677556775,0.21725721940223572
2013,8,64.87154972543017,0.5123947904586621,33.14719475937355,23.353287203758192,393.6383158702072,2.0,1053346.30016006,6709.265373471172,0.36603516072562525,0.20875008395022873
2013,9,60.87748062545616,0.5633074276921078,36.42766288279592,21.608264458734347,394.31006967356706,4.0,1104939.7362344333,5039.405907348374,0.3848714313801355,0.23028439156508662
2013,10,65.24360549244389,0.5424163868395148,34.595539537844196,22.223958679914503,396.16821554696764,4.0,1073126.304231299,5611.826849216526,0.28802585746308246,0.22844992976801282
2013,11,64.12852620632589,0.482715296611169,33.90809271223117,21.24382692139399,396.59604681836265,0.0,1226732.2716957612,6635.98595572469,0.32316520539876603,0.2072139576554552
2013,12,59.93414891265451,0.4796633094196681,34.208688770333794,22.80239214140015,394.3011381781381,2.0,1304550.514746792,6406.22113593518,0.2878718852375391,0.21978485966883307
2014,1,63.58325076981337,0.5369988422647523,34.81466508944391,23.824073325347587,395.55599972485203,4.0,1093921.7488675443,5536.10450052584,0.3019349800622888,0.24613802584914674
2014,2,63.392390255798,0.5296867699400937,35.549417873063774,22.333170135968622,396.01515874821604,3.0,1276197.081647919,6069.878451028829,0.3084659457449615,0.23523595845771353
